#OTU ID	d__Bacteria;p__Firmicutes_D	d__Bacteria;p__Firmicutes_C	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Firmicutes_A	d__Bacteria;p__Fusobacteriota	d__Bacteria;p__Firmicutes_B_370539	d__Bacteria;p__Proteobacteria	d__Archaea;p__Thermoplasmatota	d__Bacteria;p__Deinococcota	d__Bacteria;p__Desulfobacterota_I	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Firmicutes_G	d__Bacteria;p__Cyanobacteria	d__Bacteria;__	d__Archaea;p__Methanobacteriota_A_1229	d__Bacteria;p__Campylobacterota	d__Bacteria;p__Synergistota
ERR2579912	0.018662372110647973	0.008336491	0.020178098	0.17876089427813566	0.7602311481621826	0	0.000378931	0.007199697	0	0	0.003694581	0.002178856	0	0.000189466	0.000189466	0	0	0
ERR2579932	0.018471872376154493	0.086691856	0.001259446	0.5770361041141897	0.24832073887489506	0	0	0.036104114	0	0	0.009445844	0.022670025188916875	0	0	0	0	0	0
ERR2579936	0.018871392684271796	0.012376692604619814	0.035108143	0.3463023099074812	0.5684700692359537	0	0	0.010354757674162123	0	0.000183812	0.002818455	0.000183812	0	0.005146743	0	0	0.000183812	0
ERR2580052	0.080089485	0.010290828	0.022818791946308724	0.18568232662192394	0.6859060402684564	0	0.000671141	0.001789709	0	0	0.008501119	0.001565996	0.000447427	0	0.000894855	0	0	0.001342282
ERR2587852	0.007427785	0.006006419	0.020403484640073362	0.5681797340669418	0.38363136176066026	0	0.001834021	0.008619899	0	0	0.000550206	0.003347088	0	0	0	0	0	0
ERR2587888	0.017257658413764164	0.008602602	0.013795635753252202	0.38549097775912716	0.5640474192194712	0	0.000419639	0.008182963	0	0	0.000996643	0.001206462	0	0	0	0	0	0
ERR2696444	0.060995411224849985	0.012001412	0.004588775	0.30194140487116133	0.5687257324391105	0	0.000564772	0.04122838	0	0	0.005859513	0.002400282	0	0.001694317	0	0	0	0
ERR2696468	0.009133826	0.008415435	0.00354064	0.6276169950738916	0.3497536945812808	0	0	0	0	0	0	0.001539409	0	0	0	0	0	0
ERR2696477	0.005825417	0.006273526	0.000896218	0.2189460476787955	0.6491306685785984	0	0	0.007617853	0	0	0.00197168	0.1075461552249507	0	0.001433949	0	0	0	0.000358487
ERR2696479	0.056844938	0.021414956833725754	0.014911985648615315	0.22631460926112792	0.6542773853571028	0	0.000392421	0.003363606	0	0	0.001793923	0.019789214037448145	0	0	0	0.00016818	0.000728781	0
ERR2696514	0.029369421	0.027872157	0.001324503	0.3199539303196084	0.27371148862654765	0	0.001957961	0.3323927440253383	0	0	0.00040311	0.00040311	0	0.000345523	0.012266052404261445	0	0	0
ERR2696580	0.016210295728368018	0.0049069	0.004337349	0.44346111719605696	0.4911719605695509	0	0	0.031894852	0	0	0.000876232	0.007141292	0	0	0	0	0	0
ERR2696600	0.02344305	0.005919962	0.009708738	0.5245086431446839	0.33175467677006865	0	0	0.094719394	0	0	0.006393559	0.003551977	0	0	0	0	0	0
ERR2696602	0.027089573	0.047508848352845086	0.010345766403484889	0.5526817315545876	0.32956711135311734	0	0	0	0	0	0.031581813231690715	0.000816771	0	0	0.000408386	0	0	0
ERR2696608	0.016452190910571755	0.004723896	0.053103111	0.4831405766411468	0.397295977	0	0.001303144	0.020524515393386546	0	0	0.002932074	0.019058479	0	0.001466037	0	0	0	0
ERR2696632	0.008114035	0.039546784	0.007236842	0.4695906432748538	0.45248538011695905	0	0.000365497	0.018932748538011697	0	0	0.00372807	0	0	0	0	0	0	0
ERR2696815	0.013042284459088413	0.031301483	0.006452499	0.19659527732015375	0.7020867655134542	0	0.000549149	0.007962658	0	0	0.001647446	0.040362438	0	0	0	0	0	0
