#OTU ID	d__Bacteria;p__Firmicutes_D	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Firmicutes_A	d__Bacteria;p__Deinococcota	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Firmicutes_B_370539	d__Bacteria;p__Firmicutes_C	d__Bacteria;p__Campylobacterota	d__Bacteria;p__Desulfobacterota_I	d__Bacteria;p__Cyanobacteria	d__Bacteria;__	d__Bacteria;p__Firmicutes_G	d__Bacteria;p__Fusobacteriota	d__Archaea;p__Thermoplasmatota	d__Archaea;p__Methanobacteriota_A_1229	d__Bacteria;p__Synergistota
ERR2405137	0.036510659152168584	0.18157314383729478	0.5547659887282529	0.002940456	0.22126929674099485	0	0	0	0.00245038	0	0.000490076	0	0	0	0	0	0	0
ERR2405138	0.0671875	0.00484375	0.184921875	0.0359375	0.6825	0.001953125	0.003125	0	0.017734375	0	0.001796875	0	0	0	0	0	0	0
ERR2405139	0.043211230533011624	0.007238429	0.3858302259267383	0.002851503	0.5558236455363018	0	0	0	0.002632156	0	0.00241281	0	0	0	0	0	0	0
ERR2405149	0.01627164	0.001857493	0.44661564752210414	0.00534958	0.41622705995987813	0	0.090125567	0.000222899	0.018129132922208187	0.000222899	0.001263095	0	0	0	0.002971989	0	0	0.000742997
ERR2405150	0.025905453345433545	0.010725187690784588	0.6201633528586751	0.004207574	0.324643181	0.000165003	0.005197591	0	0.003547562	0.000330006	0.002887551	0	0	0	0.001815032	0	0	0.000412507
ERR2405162	0.055591054	0.010132359653126427	0.19570972158831584	0.046554085	0.6635326335006846	0	0.012688270196257416	0	0.010223642172523962	0.000273848	0.00146052	0.003651301	0	0.000182565	0	0	0	0
ERR2405163	0.059228363	0.006673618	0.30531803962460896	0.020437956204379562	0.5801876955161627	0	0.017726798748696558	0	0.004379562	0	0.003336809	0.002294056	0	0.000417101	0	0	0	0
ERR2405182	0.008969431	0.012538898041369212	0.5626029654036244	0.00228812	0.37598389163463297	0	0.025901519	0.000274574	0.004393191	0	0.000274574	0.006589786	0	0.00018305	0	0	0	0
ERR2405183	0.015173410404624277	0.010567196531791908	0.4338872832369942	0.003703035	0.504967486	0.000270954	0.012373554913294798	0.000361272	0.017792630057803467	0	0.000903179	0	0	0	0	0	0	0
ERR2405184	0.011051080550098232	0.016576620825147347	0.424975442	0.003929273	0.5235756385068763	0	0.009209234	0.000368369	0.005279961	0	0.002578585	0.002455796	0	0	0	0	0	0
ERR2405275	0.014264487	0.025913818722139673	0.3833580980683507	0.011233283803863299	0.5277265973254086	0	0	0	0.035007429	0.001188707	0.000534918	0	0.00077266	0	0	0	0	0
ERR2405326	0.053337177	0.004829177	0.46201528	0.00764019	0.4646821392532795	0	0.000360386	0	0.0031714	0	0.003531786	0.000432464	0	0	0	0	0	0
ERR2523877	0.068295841	0.000728273	0.15997734261207316	0.015293736850623078	0.7509305712898527	0	0	0	0.004612397	0	0.000161838	0	0	0	0	0	0	0
ERR2523884	0.036112979152656356	0.004303968	0.2850706119704102	0.027908540685944856	0.6172831203765972	0	0.018090114324142568	0.000134499	0.006523201	0	0.003093477	0.000336247	0.000268998	0.000201748	0	0.000134499	0	0.000537996
